,name,image_url,price,,
,Absorpion Tube,/images/apparatus/1.jpg,300,,
,Absorption Tower,/images/apparatus/2.jpg,"2,990.00,,
,Aceto Carmine,/images/apparatus/3.jpg,"2,120.00,,
,Aceto Orcein,/images/apparatus/4.jpg,"2,610.00,,
,Acid Accumulator,/images/apparatus/5.jpg,"2,100.00,,
,Adapter Gas Taps,/images/apparatus/6.jpg,690,,
,Alcohometer,/images/apparatus/7.jpg,"1,250.00,,
,Aluminium Foil,/images/apparatus/8.jpg,250,,
,Ammeter,/images/apparatus/9.jpg,850,,
,Aneroid Barometer,/images/apparatus/10.jpg,"3,200.00,,
,Asbestos Mat With Wire Gauze,/images/apparatus/11.jpg,150,,
,Atomic Model,/images/apparatus/12.jpg,"2,500.00,,
,Autoclave (electric),/images/apparatus/13.jpg,"28,000.00,,
,Ball & Ring Apparatus,/images/apparatus/14.jpg,450,,
,Banana Plug,/images/apparatus/15.jpg,100,,
,Bar And Gauge Apparatus,/images/apparatus/16.jpg,450,,
,Bar Breaking Apparatus,/images/apparatus/17.jpg,"2,240.00,,
,Bar for Bar Breaking Apparatus,/images/apparatus/18.jpg,150,,
,Bar magnet 3'' strong,/images/apparatus/19.jpg,850,,
,Beehive Shelf,/images/apparatus/20.jpg,150,,
,Bimetallic Strip,/images/apparatus/21.jpg,390,,
,Binocular Microscope,/images/apparatus/22.jpg,"44,000.00,,
,Blotting Sheet,/images/apparatus/23.jpg,80,,
,Boiling Tube Brushes,/images/apparatus/24.jpg,180,,
,Boyle's Law Apparatus,/images/apparatus/25.jpg,"5,500.00,,
,Bridge with Pencil Jockey,/images/apparatus/26.jpg,"3,500.00,,
,brix honey sugar content test procedure,/images/apparatus/27.jpg,"2,500.00,,
,Buchner Funnel,/images/apparatus/28.jpg,750,,
,Bulb Holder 2.5v,/images/apparatus/29.jpg,50,,
,Bunsen Burner,/images/apparatus/30.jpg,450,,
,Bunsen Burner Lighter,/images/apparatus/31.jpg,650,,
,Burette  Brush,/images/apparatus/32.jpg,145,,
,Cathode Ray Oscilloscope,/images/apparatus/33.jpg,"39,000.00,,
,Cell Holder,/images/apparatus/34.jpg,155,,
,Centrifuge,/images/apparatus/35.jpg,"14,000.00,,
,"Charts (Bio, Chem, Phys)",/images/apparatus/36.jpg,250,,
,Chromatography Paper,/images/apparatus/37.jpg,300,,
,Circuit Board,/images/apparatus/38.jpg,450,,
