,name,image_url,price,,
,Mercury Ups Elite 1000V,https://www.mybidhaa.co.ke/food_images/1732696268.png,12000,,
,Epson EcTank L3251 A4 Wi-Fi All-In- One Ink Tank Printer,https://www.mybidhaa.co.ke/food_images/1732697932.png,26500,,
,Canon PIXMA G6040 3-in-1 MegaTank Printer,https://www.mybidhaa.co.ke/food_images/1732698211.png,59500,,
,Canon Laser Printer | Sensys LBP3010,https://www.mybidhaa.co.ke/food_images/1732698426.png,28700,,
,Epson Eco Tank L15150 A3 Duplex All-in-One Printer,https://www.mybidhaa.co.ke/food_images/1732699159.png,160000,,
,Epson L6550 Printer,https://www.mybidhaa.co.ke/food_images/1732699398.png,107500,,
,Canon G640 Printer,https://www.mybidhaa.co.ke/food_images/1732699595.png,41500,,
,Lenovo IdeaCentre AIOL i7, 16GB, 512GB, 23.8 ,https://www.mybidhaa.co.ke/food_images/1732699687.png,129500,,
,Epson EcoTank L15160 A3 Duplex All-in-One Printer,https://www.mybidhaa.co.ke/food_images/1732699805.png,173000,,
,Brother DCP-L2540dw Laser Printer,https://www.mybidhaa.co.ke/food_images/1732699824.png,35500,,
,HP Color Laser MFP 179FNW Printer- 4ZB97,https://www.mybidhaa.co.ke/food_images/1732700111.png,62500,,
,Lenovo IdeaPad Celeron 8GB 256GB SSD 14 Win 11,https://www.mybidhaa.co.ke/food_images/1732700130.png,39000,,
,Epson Ecotank M2140 Printer,https://www.mybidhaa.co.ke/food_images/1732700159.png,41500,,
,Brother MFC - J2340DW A3 Printer,https://www.mybidhaa.co.ke/food_images/1732700323.png,47500,,
,Epson Ecotank M3170 Printer,https://www.mybidhaa.co.ke/food_images/1732700363.png,45000,,
,Epson M3180 EcoTank A4 AIO Wi-Fi Printer,https://www.mybidhaa.co.ke/food_images/1732700532.png,57000,,
,HP Desk 2710 AiO WiFi Printer,https://www.mybidhaa.co.ke/food_images/1732700535.png,8750,,
,HP Laptop 14 Core i3 8GB 512GB PCle 14.0 HDWin 11pro Natural Silver A6TE7E,https://www.mybidhaa.co.ke/food_images/1732700727.png,62000,,
,HP DeskJet 2320 AiO Printer,https://www.mybidhaa.co.ke/food_images/1732700740.png,7500,,
,Brother MFC-J3540DW A3 Printer,https://www.mybidhaa.co.ke/food_images/1732700759.png,74000,,
,Canon MPF GX6040 Printer - 4470C009A,https://www.mybidhaa.co.ke/food_images/1732700959.png,79099,,
,Brother Printer DCP-T420W,https://www.mybidhaa.co.ke/food_images/1732700984.png,26500,,
