,name,image_url,price,,
,SINGLE SLIDE,https://www.mybidhaa.co.ke/food_images/1734349436.jpg,34000,,
,SWING 2 SET,https://www.mybidhaa.co.ke/food_images/1734349616.jpg,22000,,
,MERRY GO ROUND 5 SET,https://www.mybidhaa.co.ke/food_images/1734350139.jpg,48000,,
,SWING 3 SET,https://www.mybidhaa.co.ke/food_images/1734350247.jpg,28000,,
,SWING WITH 4 SET,https://www.mybidhaa.co.ke/food_images/1734350417.jpg,33000,,
,SMALL HOUSE,https://www.mybidhaa.co.ke/food_images/1734350538.jpg,22000,,
,DOUBLE HOUSE,https://www.mybidhaa.co.ke/food_images/1734350780.jpg,50000,,
,GREEN HOUSE SLIDE,https://www.mybidhaa.co.ke/food_images/1734350989.jpg,120000,,
,DOUBLE HOUSE SLIDE,https://www.mybidhaa.co.ke/food_images/1734351118.jpg,160000,,
,COLOURFUL SWINGS,https://www.mybidhaa.co.ke/food_images/1734351214.jpg,33000,,
,Slide With Swing Combined,https://www.mybidhaa.co.ke/food_images/1738056939.jpg,56000,,
