Supplier ID,Name,Phone Number,Email,Commission,Partner
2,Text Book Center,0794585507,caotieno@gmail.com,0,Yes
4,Savanis Bookshop,0700000100,supplierb2@gmail.com,0,No
5,Chania Bookshop,0700000300,supplierb3@gmail.com,0,No
6,Avenue Bookshop,0700000400,supplierb4@gmail.com,0,No
7,Chaka Bookshop,0700000500,supplierb5@gmail.com,0,No
8,Savanna Bookshop,0700000600,supplierb6@gmail.com,0,No
9,Bingwa Bookshop,0700000700,supplierb7@gmail.com,0,No
10,Bliss Book Centre,0789211331,bliss@gmail,15,No
11,Nzag Enterprises Mlolongo Town,0722125935,nzagsports@gmail.com,10,No
12,Makini School Shop - Nairobi,0735590141,caotieno@gmail.com,0,No
13,Test Supplier,0738896503,jayb2oteno@gmail.com,10,No
14,Mountain Top,1234512345,m@gmail.com,23,No
15,MY BIDHAA,0797100500,"hello@mybidhaa.co,ke",0,No
